X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,DIRECCION,GRAVEDAD,CLASE_ACC,LOCALIDAD,FECHA_HORA_ACC,LATITUD,LONGITUD,CIV,PK_CALZADA
-74.0927671489999,4.67682568484648,130,A20388,4466474,2016/12/05 00:00:00+00,2016,CL 67-KR 69B 02,SOLO DANOS,CHOQUE,ENGATIVA,2016/12/05 11:00:00+00,4.67682568,-74.09276715,10008899,224584
-74.063132257,4.75868184784382,132,A3986,4407706,2015/03/15 00:00:00+00,2015,CL 170-KR 68 20,SOLO DANOS,CHOQUE,SUBA,2015/03/15 08:37:00+00,4.75868185,-74.06313226,11000559,1439
-74.0971488129999,4.68449534484627,133,A000338739,4444058,2016/05/03 00:00:00+00,2016,AV AVENIDA BOYACA-CL 69B 02,SOLO DANOS,CHOQUE,ENGATIVA,2016/05/03 19:00:00+00,4.68449535,-74.09714881,10010137,224906
-74.142851687,4.63126881984799,135,A000642896,4491610,2017/08/26 00:00:00+00,2017,AV AVENIDA DE LAS AMERICAS-KR 74 02,CON MUERTOS,CHOQUE,KENNEDY,2017/08/26 08:00:00+00,4.63126882,-74.14285169,50006510,50013126
-74.09582505,4.62245373984824,139,A000764186,4513446,2018/04/03 00:00:00+00,2018,AK 39-CL 17A 02,CON HERIDOS,CHOQUE,PUENTE ARANDA,2018/04/03 18:55:00+00,4.62245374,-74.09582505,16000691,229323
-74.1189680909999,4.62242505884824,140,A000646153,4488703,2017/07/26 00:00:00+00,2017,CL 4B-KR 57A 02,CON HERIDOS,CHOQUE,PUENTE ARANDA,2017/07/26 17:00:00+00,4.62242506,-74.11896809,16000711,141530
-74.184881267,4.600423270849,142,A000815262,10447441,2018/05/09 00:00:00+00,2018,CL 65F-KR 78A S 2,CON HERIDOS,VOLCAMIENTO,BOSA,2018/05/09 21:00:00+00,4.60042327,-74.18488127,7007282,56789
-74.143131603,4.71004576384539,146,A000474702,4460965,2016/10/14 00:00:00+00,2016,CL 63B-KR 118A 02,SOLO DANOS,CHOQUE,ENGATIVA,2016/10/14 15:00:00+00,4.71004576,-74.1431316,10002740,24976
-74.138793256,4.55897359485033,148,A000408096,4453207,2016/08/03 00:00:00+00,2016,AV AVENIDA BOYACA-CL 61 S 02,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR,2016/08/03 23:10:00+00,4.5589736,-74.13879326,19007170,247691
-74.114509729,4.61550612284849,150,A000553141,4473859,2017/02/24 00:00:00+00,2017,CL 3-KR 50 02,CON HERIDOS,CHOQUE,PUENTE ARANDA,2017/02/24 07:40:00+00,4.61550612,-74.11450973,50006464,50016858
-74.092291232,4.55077434585057,157,A000688210,4497375,2017/10/23 00:00:00+00,2017,CL 40-KR 4 SE 02,SOLO DANOS,CHOQUE,SAN CRISTOBAL,2017/10/23 06:50:00+00,4.55077435,-74.09229123,4003871,130414
-74.03365955,4.71819362984513,161,A000764816,4513651,2018/04/04 00:00:00+00,2018,CL 140-KR 9 2,SOLO DANOS,CHOQUE,USAQUEN,2018/04/04 17:59:00+00,4.71819363,-74.03365955,50007398,268735
-74.073037348,4.64399316284758,165,A000648061,4490345,2017/08/12 00:00:00+00,2017,TR 24-DG 53D 02,CON HERIDOS,CHOQUE,TEUSAQUILLO,2017/08/12 22:15:00+00,4.64399316,-74.07303735,13000835,32428
-74.158395946,4.63888865284772,168,A1467,4405144,2015/02/15 00:00:00+00,2015,AV AVENIDA CIUDAD DE CALI-CL 1B S 27,SOLO DANOS,CHOQUE,KENNEDY,2015/02/15 14:30:00+00,4.63888865,-74.15839595,50006513,50015353
-74.084918167,4.73786296084453,172,A000605353,4481506,2017/05/12 00:00:00+00,2017,CL 145-KR 91 02,SOLO DANOS,CHOQUE,SUBA,2017/05/12 06:45:00+00,4.73786296,-74.08491817,11005573,50013478
-74.098203629,4.75364969784401,173,A000551932,4468966,2016/12/30 00:00:00+00,2016,CL 151C-KR 109A 02,SOLO DANOS,CHOQUE,SUBA,2016/12/30 11:00:00+00,4.7536497,-74.09820363,50003493,
-74.0594156889999,4.70750061584551,177,A000687336,4496414,2017/10/13 00:00:00+00,2017,CL 127-KR 51 02,SOLO DANOS,CHOQUE,SUBA,2017/10/13 08:10:00+00,4.70750062,-74.05941569,11010423,202273
-74.1024962339999,4.58575195084943,180,A000281115,4433937,2016/01/10 00:00:00+00,2016,KR 22-CL 18 S 19,SOLO DANOS,CHOQUE,ANTONIO NARINO,2016/01/10 11:00:00+00,4.58575195,-74.10249623,15001041,240565
-74.1044663069999,4.6128130378486,185,A17123,4455647,2016/08/26 00:00:00+00,2016,CL 6-KR 36 02,SOLO DANOS,CHOQUE,PUENTE ARANDA,2016/08/26 14:10:00+00,4.61281304,-74.10446631,30000780,52900
-74.118684134,4.58858013484935,187,A000405790,4452617,2016/07/27 00:00:00+00,2016,CL 35-KR 26H S 02,SOLO DANOS,CHOQUE,RAFAEL URIBE URIBE,2016/07/27 14:18:00+00,4.58858013,-74.11868413,18007066,239690
